hotel_city,hotel_name,hotel_score,hotel_desc,hotel_url
Grenoble,Park Hôtel Grenoble - MGallery,8.9,Superior Double Â Room,https://www.booking.com/hotel/fr/park-grenoble.en-gb.html
Grenoble,Residhome Grenoble Caserne De Bonne,7.7,Duplex Apartment (2 Adults),https://www.booking.com/hotel/fr/residhome-prestige-grenoble-caserne-de-bonne.en-gb.html
Grenoble,Mercure Grenoble Centre Alpotel,7.4,Standard Room with Two Single Beds,https://www.booking.com/hotel/fr/mercure-grenoble-centre-alpotel.en-gb.html
Grenoble,Villa atmosphère à l'ile verte,9.3,Double Room,https://www.booking.com/hotel/fr/sarl-residilaverde.en-gb.html
Grenoble,Welcome to Jules' home #DA,9.7,Apartment,https://www.booking.com/hotel/fr/welcome-to-jules-home-da.en-gb.html
Grenoble,ibis Grenoble Centre Bastille,7.2,Standard Room with 1 Double Bed,https://www.booking.com/hotel/fr/ibis-grenoble-centre.en-gb.html
Grenoble,Hôtel d’Angleterre Grenoble Hyper-Centre,7.6,Double Room,https://www.booking.com/hotel/fr/tiangleterre.en-gb.html
Grenoble,Appartements RESIDILAVERDE Hypercentre,8.0,Apartment,https://www.booking.com/hotel/fr/appartements-residilaverde-hypercentre.en-gb.html
Grenoble,Esprit Bistrot / Rent4night Grenoble,7.8,Deluxe Room,https://www.booking.com/hotel/fr/esprit-bistrot-rent4night-grenoble.en-gb.html
Grenoble,Appartements Residilaverde Gare,9.9,Studio,https://www.booking.com/hotel/fr/residilaverde-gare.en-gb.html
Grenoble,Appartement au Cœur du Centre Ville Grenoble,,One-Bedroom Apartment,https://www.booking.com/hotel/fr/appartement-au-coeur-du-centre-ville-grenoble.en-gb.html
Grenoble,Jungle studio proche de la gare - Bloomy appart,9.2,Studio with Mountain View,https://www.booking.com/hotel/fr/jungle-studio-proche-de-la-gare-bloomy-appart.en-gb.html
Grenoble,Résidence Le Patricia,7.6,Studio (2 Adults),https://www.booking.com/hotel/fr/ra-c-sidence-le-patricia.en-gb.html
Grenoble,Brit Hotel Suisse et Bordeaux - Centre Gare,7.7,Standard Double Room,https://www.booking.com/hotel/fr/suisse-et-bordeaux.en-gb.html
Grenoble,ibis Grenoble Gare,7.4,Standard Double Room,https://www.booking.com/hotel/fr/ibis-grenoble-gare.en-gb.html
Grenoble,Maison Barbillon Grenoble,8.2,Standard Double Room,https://www.booking.com/hotel/fr/maison-barbillon-grenoble.en-gb.html
Grenoble,Kyriad Grenoble Centre,7.6,Twin Room,https://www.booking.com/hotel/fr/qualityhotelgrenoble.en-gb.html
Grenoble,1924 Hôtel,8.5,Double Room,https://www.booking.com/hotel/fr/royal-grenoble.en-gb.html
Grenoble,Residhotel Grenette,7.5,One-Bedroom Apartment (4 Adults),https://www.booking.com/hotel/fr/le-royal-grenoble.en-gb.html
Grenoble,Hotel Europole,7.7,Standard Double Room,https://www.booking.com/hotel/fr/europole.en-gb.html
Grenoble,Le Hüb - Grenoble,8.2,One-Bedroom Apartment (4 Adults),https://www.booking.com/hotel/fr/le-hub-grenoble.en-gb.html
Grenoble,"Studio plein centre avec garage, piscine et gardien",8.0,Studio Apartment,https://www.booking.com/hotel/fr/appartement-2-personnes-avec-garage-piscine-et-gardien.en-gb.html
Grenoble,Tempologis Grenoble,8.2,Studio with Sofa Bed,https://www.booking.com/hotel/fr/tempologis-grenoble.en-gb.html
Grenoble,Adagio Grenoble Centre,7.3,Small Studio,https://www.booking.com/hotel/fr/hipark.en-gb.html
